Sheet,Column,Description,Data Type,
Monthly_Attendance,Park_Name,Name of the National Park,VARCHAR,
Monthly_Attendance,State,U.S. state abbreviation,VARCHAR,
Monthly_Attendance,Year,Calendar year,INT,
Monthly_Attendance,Month,Month (1-12),INT,
Monthly_Attendance,Recreation_Visits,Number of recreational visitors in given year and month,INT,
Monthly_Attendance,Unit Code,National Park Service (NPS) unit identifier,INT,
Monthly_Attendance,Park Type,Type of park unit,VARCHAR,
Monthly_Attendance,Region,NPS administrative region,VARCHAR,
PivotTable - Total Attendance,Park_Name,Name of the National Park,VARCHAR,
PivotTable - Total Attendance,Year,Calendar year; each year provides individual park attendance totals.,INT,
SQL_Attendance_Table,National_Park_ID,"A unique ID I've assigned to each National Park, ordered alphabetically.",INT,
SQL_Attendance_Table,Park_Name,Name of the National Park,VARCHAR,
SQL_Attendance_Table,State,U.S. state abbreviation,VARCHAR,
SQL_Attendance_Table,Park_Attendance_Totals_from_1995-2025,"Each park's attendance totals, added from 1995 through 2025.",INT,
SQL_Distance_Table,National_Park_ID,"A unique ID I've assigned to each National Park, ordered alphabetically.",INT,
SQL_Distance_Table,State,U.S. state abbreviation,VARCHAR,
SQL_Distance_Table,Main_Visitor_Center,Each National Park's most visited or most notable visitor center.,VARCHAR,
SQL_Distance_Table,Closest_Airport,Each National Park's closest major airport.,VARCHAR,
SQL_Distance_Table,Distance_in_Miles,The distance (in miles) between the main visitor center and the closest major airport.,FLOAT,
SQL_Distance_Table,Travel_Time_Minutes,The average travel time (in minutes) between the main visitor center and the closest major airport.,INT,
SQL_Distance_Table,Visitor_Center_Latitude,The geospatial latitude of the main visitor center.,FLOAT,
SQL_Distance_Table,Visitor_Center_Longitude,The geospatial longitude of the main visitor center.,FLOAT,
SQL_Distance_Table,Airport_Latitude,The geospatial latitude of the closest major airport.,FLOAT,
SQL_Distance_Table,Airport_Longitude,The geospatial longitude of the closest major airport.,FLOAT,
