Sum of Attendance,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park_Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Grand Total
Acadia NP,"2,845,378","2,704,831","2,760,306","2,594,497","2,602,227","2,469,238","2,516,551","2,558,572","2,431,062","2,207,847","2,051,484","2,083,588","2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","4,069,098","3,970,260","3,879,890","3,961,661","4,079,318","87,687,290"
Arches NP,"859,374","856,016","858,525","837,161","869,980","786,429","754,026","769,672","757,781","733,131","781,670","833,049","860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,806,865","1,460,652","1,482,045","1,466,528","1,511,740","34,788,640"
Badlands NP,"1,075,569","1,024,705","970,696","1,021,049","950,453","1,105,824","955,469","908,898","871,034","936,030","909,146","840,118","886,654","845,734","933,918","977,778","870,741","883,406","892,372","868,094","989,354","996,263","1,054,325","1,008,942","970,998","916,932","1,224,226","1,006,809","1,046,400","1,094,245","1,139,361","30,175,543"
Big Bend NP,"295,460","279,454","305,882","338,442","327,649","262,320","328,927","327,747","312,384","357,723","398,583","298,717","364,856","362,512","363,905","372,330","361,862","292,055","316,953","314,102","381,747","388,290","440,276","440,091","463,832","393,907","581,220","514,107","509,129","561,458","568,104","11,824,024"
Biscayne NP,"584,519","338,603","392,069","403,239","442,585","393,151","489,343","513,397","490,031","478,304","563,728","608,836","517,442","686,062","437,745","467,612","476,077","495,613","486,848","525,745","508,164","514,709","446,961","469,253","708,522","402,770","705,655","701,023","571,242","512,213","486,567","15,818,028"
Black Canyon of the Gunnison NP,"221,113","200,125","209,863","193,451","200,142","191,506","181,018","173,687","167,247","175,581","180,814","160,450","219,576","160,185","171,451","176,344","168,336","192,570","175,852","183,045","209,166","238,018","307,143","308,962","432,818","341,620","308,910","297,257","357,069","335,862","250,086","7,089,267"
Bryce Canyon NP,"994,548","1,269,600","1,174,824","1,166,331","1,081,521","1,099,275","1,068,619","886,436","903,760","987,253","1,017,681","890,676","1,012,563","1,043,321","1,216,377","1,285,492","1,296,000","1,385,352","1,311,875","1,435,741","1,745,804","2,365,110","2,571,684","2,679,478","2,594,904","1,464,655","2,104,600","2,354,660","2,461,269","2,498,075","1,967,367","47,334,851"
Canyonlands NP,"448,769","447,527","432,697","436,524","446,160","401,558","368,592","367,078","386,986","371,706","393,381","392,537","417,560","436,715","436,241","435,908","473,773","452,952","462,242","542,431","634,607","776,218","742,271","739,449","733,996","493,914","911,594","779,147","800,322","818,492","796,057","16,777,404"
Capitol Reef NP,"648,864","678,012","625,680","656,026","680,153","612,656","527,760","525,646","535,441","549,708","550,255","511,511","554,907","604,811","617,208","662,661","668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627","1,226,519","981,038","1,405,353","1,227,608","1,268,861","1,422,490","1,388,476","25,637,732"
Carlsbad Caverns NP,"588,609","557,217","540,797","522,076","514,418","469,303","455,621","476,259","457,631","419,599","413,786","407,367","409,560","400,381","432,639","428,524","365,000","381,058","388,566","397,309","445,720","466,773","520,026","465,912","440,691","183,835","349,244","390,932","394,121","460,474","410,778","13,554,226"
Channel Islands NP,"525,882","490,715","488,757","574,270","607,057","482,571","520,428","613,935","585,919","537,716","434,107","375,256","360,806","332,177","348,745","277,515","242,756","249,594","212,029","342,161","324,816","364,807","383,687","366,250","409,630","167,290","319,252","323,245","328,746","262,581","227,186","12,079,886"
Congaree NP,"67,949","62,614","70,716","93,725","82,223","95,619","119,738","101,620","107,114","126,247","84,301","134,045","115,524","104,913","122,970","121,208","120,166","109,685","120,340","120,122","87,513","143,843","159,595","145,929","159,445","119,306","215,181","204,522","250,114","242,049","287,833","4,096,169"
Crater Lake NP,"496,041","476,957","451,548","471,865","417,992","426,883","457,373","456,620","479,183","417,066","447,240","388,972","468,958","415,686","446,516","448,319","423,551","447,251","523,027","535,508","614,712","756,344","711,749","720,659","704,512","670,500","647,751","527,259","559,976","504,942","632,242","16,147,202"
Cuyahoga Valley NP,"3,195,207","3,455,878","3,527,837","3,467,107","3,324,284","3,324,918","3,123,353","3,217,935","2,879,591","3,306,175","2,533,827","2,468,816","2,486,656","2,828,233","2,589,288","2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390","2,226,879","2,096,053","2,237,997","2,755,628","2,575,275","2,913,312","2,860,059","2,912,454","3,025,325","85,286,525"
