National_Park_ID,Park_Name,State,Park_Attendance_Totals_from_1995-2025,,,,,,,,
001,Acadia NP,ME,"87,687,290",,,,,,,,
002,Arches NP,UT,"34,788,640",,,,,,,,
003,Badlands NP,SD,"30,175,543",,,,,,,,
004,Big Bend NP,TX,"11,824,024",,,,,,,,
005,Biscayne NP,FL,"15,818,028",,,,,,,,
006,Black Canyon of the Gunnison NP,CO,"7,089,267",,,,,,,,
007,Bryce Canyon NP,UT,"47,334,851",,,,,,,,
008,Canyonlands NP,UT,"16,777,404",,,,,,,,
009,Capitol Reef NP,UT,"25,637,732",,,,,,,,
010,Carlsbad Caverns NP,NM,"13,554,226",,,,,,,,
011,Channel Islands NP,CA,"12,079,886",,,,,,,,
012,Congaree NP,SC,"4,096,169",,,,,,,,
013,Crater Lake NP,OR,"16,147,202",,,,,,,,
014,Cuyahoga Valley NP,OH,"85,286,525",,,,,,,,
015,Death Valley NP,CA,"33,678,623",,,,,,,,
016,Denali NP & PRES,AK,"13,309,484",,,,,,,,
017,Dry Tortugas NP,FL,"2,054,465",,,,,,,,
018,Everglades NP,FL,"30,136,277",,,,,,,,
019,Gates of the Arctic NP & PRES,AK,"293,133",,,,,,,,
020,Gateway Arch NP,MO,"75,483,797",,,,,,,,
021,Glacier Bay NP & PRES,AK,"13,753,456",,,,,,,,
022,Glacier NP,MT,"69,955,758",,,,,,,,
023,Grand Canyon NP,AZ,"144,362,593",,,,,,,,
024,Grand Teton NP,WY,"89,442,370",,,,,,,,
025,Great Basin NP,NV,"3,296,241",,,,,,,,
026,Great Sand Dunes NP & PRES,CO,"10,605,998",,,,,,,,
027,Great Smoky Mountains NP,TN,"323,355,152",,,,,,,,
028,Guadalupe Mountains NP,TX,"6,000,777",,,,,,,,
029,Haleakala NP,HI,"37,584,775",,,,,,,,
030,Hawaii Volcanoes NP,HI,"44,741,964",,,,,,,,
031,Hot Springs NP,AR,"48,912,686",,,,,,,,
032,Indiana Dunes NP,IN,"62,596,253",,,,,,,,
033,Isle Royale NP,MI,"637,808",,,,,,,,
034,Joshua Tree NP,CA,"57,364,656",,,,,,,,
035,Katmai NP & PRES,AK,"1,331,927",,,,,,,,
036,Kenai Fjords NP,AK,"9,162,338",,,,,,,,
037,Kings Canyon NP,CA,"18,195,913",,,,,,,,
038,Kobuk Valley NP,AK,"257,256",,,,,,,,
039,Lake Clark NP & PRES,AK,"355,102",,,,,,,,
040,Lassen Volcanic NP,CA,"12,743,767",,,,,,,,
041,Mammoth Cave NP,KY,"31,713,369",,,,,,,,
042,Mesa Verde NP,CO,"16,336,251",,,,,,,,
043,Mount Rainier NP,WA,"40,929,591",,,,,,,,
044,National Park of American Samoa,AS,"364,955",,,,,,,,
045,New River Gorge NP & PRES,WV,"38,904,859",,,,,,,,
046,North Cascades NP,WA,"837,079",,,,,,,,
047,Olympic NP,WA,"99,039,492",,,,,,,,
048,Petrified Forest NP,AZ,"19,570,784",,,,,,,,
049,Pinnacles NP,CA,"6,606,704",,,,,,,,
050,Redwood NP,CA,"13,959,429",,,,,,,,
051,Rocky Mountain NP,CO,"106,810,493",,,,,,,,
052,Saguaro NP,AZ,"23,765,625",,,,,,,,
053,Sequoia NP,CA,"31,730,134",,,,,,,,
054,Shenandoah NP,VA,"42,596,489",,,,,,,,
055,Theodore Roosevelt NP,ND,"17,614,492",,,,,,,,
056,Virgin Islands NP,VI,"14,824,131",,,,,,,,
057,Voyageurs NP,MN,"7,127,479",,,,,,,,
058,White Sands NP,NM,"16,922,392",,,,,,,,
059,Wind Cave NP,SD,"19,877,743",,,,,,,,
060,Wrangell-St. Elias NP & PRES,AK,"1,818,830",,,,,,,,
061,Yellowstone NP,WY,"108,712,330",,,,,,,,
062,Yosemite NP,CA,"115,584,658",,,,,,,,
063,Zion NP,UT,"101,406,181",,,,,,,,
