National_Park_ID,Main_Visitor_Center,Closest_Airport,Distance_in_Miles
001,Hulls Cove VC,Bangor Intl (BGR),40.78
002,Arches VC,Salt Lake City Intl (SLC),196.33
003,Ben Reifel VC,Rapid City Regional (RAP),38.04
004,Panther Junction VC,Midland Intl (MAF),190.36
005,Dante Fascell VC,Miami Intl (MIA),22.21
006,South Rim VC,Montrose Regional (MTJ),9.43
007,Bryce VC,Salt Lake City Intl (SLC),218.68
008,Island in the Sky VC,Salt Lake City Intl (SLC),195.74
009,Capital Reef VC,Salt Lake City Intl (SLC),177.29
010,Carlsbad Caverns VC,El Paso Intl (ELP),109.31
011,Mainland VC,Los Angeles Intl (LAX),74.38
012,Harry Hampton VC,Columbia Metro (CAE),21.73
013,Rim VC,Rogue Valley Intl (MFR),52.29
014,Boston Store VC,Cleveland Hopkins Intl (CLE),18.11
015,Furnace Creek VC,Las Vegas Intl (LAS),98.88
016,Denali VC,Anchorage Intl (ANC),180.02
017,Fort Jefferson VC,Key West Intl (EYW),70.14
018,Ernest Coe VC,Miami Intl (MIA),33.30
019,Fairbanks VC,Fairbanks Intl (FAI),4.39
020,Arch VC,St. Louis Lambert Intl (STL),13.16
021,Bartlett Cove VC,Juneau Intl (JNU),47.89
022,Apgar VC,Glacier Park Intl (FCA),19.26
023,South Rim VC,Flagstaff Pulliam (FLG),68.37
024,Craig Thomas VC,Jackson Hole (JAC),12.96
025,Great Basin VC,Salt Lake City Intl (SLC),175.50
026,Great Sand Dunes VC,Denver Intl (DEN),151.00
027,Sugarlands VC,Knoxville (TYS),27.11
028,Pine Springs VC,El Paso Intl (ELP),90.80
029,Summit VC,Kahului (OGG),21.63
030,Kilauea VC,Hilo Intl (ITO),26.01
031,Fordyce VC,Clinton National (LIT),49.76
032,Indiana Dunes VC,Chicago O'Hare Intl (ORD),49.29
033,Houghton VC,Houghton County (CMX),5.69
034,Oasis VC,Palm Springs Intl (PSP),18.37
035,King Salmon VC,Anchorage Intl (ANC),287.39
036,Exit Glacier VC,Anchorage Intl (ANC),69.27
037,Grant Grove VC,Fresno Intl (FAT),41.56
038,Kotzebue,Kotzebue (OTZ),0.85
039,Port Alsworth VC,Anchorage Intl (ANC),160.63
040,Kohm Yah-mah-nee VC,Sacramento Intl (SMF),120.81
041,Mammoth Cave VC,Nashville Intl (BNA),79.94
042,Far View VC,Durango-La Plata (DRO),39.39
043,Henry Jackson VC,Seattle-Tacoma Intl (SEA),53.18
044,Pago Pago VC,Pago Pago Intl (PPG),3.63
045,Canyon Rim VC,Charleston WV (CRW),34.95
046,Newhalem VC,Seattle-Tacoma Intl (SEA),97.77
047,Port Angeles VC,Seattle-Tacoma Intl (SEA),68.68
048,Painted Desert VC,Albuquerque Intl (ABQ),179.40
049,Pinnacles VC,San Jose Intl (SJC),73.10
050,Thomas Kuchel VC,Eureka-Arcata (ACV),17.12
051,Beaver Meadows VC,Denver Intl (DEN),59.97
052,Red Hills VC,Tucson Intl (TUS),18.15
053,Foothills VC,Fresno Intl (FAT),57.38
054,Dickey Ridge VC,Dulles Intl (IAD),41.70
055,South Unit VC,Bismarck (BIS),128.45
056,Cruz Bay VC,Cyril King Intl (STT),11.64
057,Rainy Lake VC,Falls Intl (INL),2.96
058,White Sands VC,El Paso Intl (ELP),68.22
059,Wind Cave VC,Rapid City Regional (RAP),37.68
060,Copper Center VC,Anchorage Intl (ANC),163.31
061,Canyon VC,Bozeman Yellowstone Intl (BZN),79.21
062,Valley VC,Fresno Intl (FAT),67.33
063,Zion Canyon VC,Las Vegas Intl (LAS),142.73
