National_Park_ID,Park_Name,State,Park_Attendance_Totals_from_1995-2025,,National_Park_ID,Main_Visitor_Center,Closest_Airport,Distance_in_Miles,,,
001,Acadia NP,ME,"87,687,290",,001,Hulls Cove VC,Bangor Intl (BGR),40.78,,,
002,Arches NP,UT,"34,788,640",,002,Arches VC,Salt Lake City Intl (SLC),196.33,,,
003,Badlands NP,SD,"30,175,543",,003,Ben Reifel VC,Rapid City Regional (RAP),38.04,,,
004,Big Bend NP,TX,"11,824,024",,004,Panther Junction VC,Midland Intl (MAF),190.36,,,
005,Biscayne NP,FL,"15,818,028",,005,Dante Fascell VC,Miami Intl (MIA),22.21,,,
006,Black Canyon of the Gunnison NP,CO,"7,089,267",,006,South Rim VC,Montrose Regional (MTJ),9.43,,,
007,Bryce Canyon NP,UT,"47,334,851",,007,Bryce VC,Salt Lake City Intl (SLC),218.68,,,
008,Canyonlands NP,UT,"16,777,404",,008,Island in the Sky VC,Salt Lake City Intl (SLC),195.74,,,
009,Capitol Reef NP,UT,"25,637,732",,009,Capital Reef VC,Salt Lake City Intl (SLC),177.29,,,
010,Carlsbad Caverns NP,NM,"13,554,226",,010,Carlsbad Caverns VC,El Paso Intl (ELP),109.31,,,
011,Channel Islands NP,CA,"12,079,886",,011,Mainland VC,Los Angeles Intl (LAX),74.38,,,
012,Congaree NP,SC,"4,096,169",,012,Harry Hampton VC,Columbia Metro (CAE),21.73,,,
013,Crater Lake NP,OR,"16,147,202",,013,Rim VC,Rogue Valley Intl (MFR),52.29,,,
014,Cuyahoga Valley NP,OH,"85,286,525",,014,Boston Store VC,Cleveland Hopkins Intl (CLE),18.11,,,
015,Death Valley NP,CA,"33,678,623",,015,Furnace Creek VC,Las Vegas Intl (LAS),98.88,,,
016,Denali NP & PRES,AK,"13,309,484",,016,Denali VC,Anchorage Intl (ANC),180.02,,,
017,Dry Tortugas NP,FL,"2,054,465",,017,Fort Jefferson VC,Key West Intl (EYW),70.14,,,
018,Everglades NP,FL,"30,136,277",,018,Ernest Coe VC,Miami Intl (MIA),33.30,,,
019,Gates of the Arctic NP & PRES,AK,"293,133",,019,Fairbanks VC,Fairbanks Intl (FAI),4.39,,,
020,Gateway Arch NP,MO,"75,483,797",,020,Arch VC,St. Louis Lambert Intl (STL),13.16,,,
021,Glacier Bay NP & PRES,AK,"13,753,456",,021,Bartlett Cove VC,Juneau Intl (JNU),47.89,,,
022,Glacier NP,MT,"69,955,758",,022,Apgar VC,Glacier Park Intl (FCA),19.26,,,
023,Grand Canyon NP,AZ,"144,362,593",,023,South Rim VC,Flagstaff Pulliam (FLG),68.37,,,
024,Grand Teton NP,WY,"89,442,370",,024,Craig Thomas VC,Jackson Hole (JAC),12.96,,,
025,Great Basin NP,NV,"3,296,241",,025,Great Basin VC,Salt Lake City Intl (SLC),175.50,,,
026,Great Sand Dunes NP & PRES,CO,"10,605,998",,026,Great Sand Dunes VC,Denver Intl (DEN),151.00,,,
027,Great Smoky Mountains NP,TN,"323,355,152",,027,Sugarlands VC,Knoxville (TYS),27.11,,,
